"","FIPS","State","Year","n","total_n","power"
"402",NA,"Maine",1980,1124660,226545805,0.496438236850159
"403",NA,"Maine",1990,1231296,249464396,0.493575844787085
"404",NA,"Maine",2000,1253040,272690813,0.459509429824466
"405",NA,"Maryland",1913,1368000,97499636,1.40308216125033
"406",NA,"Maryland",1920,1464000,106773917,1.3711213760192
"407",NA,"Maryland",1930,1636000,123502578,1.32466870448648
"408",NA,"Maryland",1940,1839000,132450294,1.38844538918124
"409",NA,"Maryland",1950,2355000,151870000,1.55066833475999
"410",NA,"Maryland",1960,3113000,179972000,1.7297135109906
"411",NA,"Maryland",1970,3923897,203302031,1.93008253813264
"412",NA,"Maryland",1980,4216975,226545805,1.86142268226949
"413",NA,"Maryland",1990,4797431,249464396,1.92309246406449
"414",NA,"Maryland",2000,5171634,272690813,1.89651933745197
"415",NA,"Massachusetts",1913,3534000,97499636,3.62462891656334
"416",NA,"Massachusetts",1920,3882000,106773917,3.63571938641157
"417",NA,"Massachusetts",1930,4250000,123502578,3.44122371275521
"418",NA,"Massachusetts",1940,4318000,132450294,3.26009091380348
"419",NA,"Massachusetts",1950,4686000,151870000,3.08553368012116
"420",NA,"Massachusetts",1960,5160000,179972000,2.86711266196964
"421",NA,"Massachusetts",1970,5689170,203302031,2.79838325865028
"422",NA,"Massachusetts",1980,5737037,226545805,2.53239604238092
"423",NA,"Massachusetts",1990,6018664,249464396,2.41263446668357
"424",NA,"Massachusetts",2000,6175169,272690813,2.26453136871905
"425",NA,"Michigan",1913,3101000,97499636,3.18052469447168
"426",NA,"Michigan",1920,3723000,106773917,3.48680661401604
"427",NA,"Michigan",1930,4834000,123502578,3.91408833587263
"428",NA,"Michigan",1940,5315000,132450294,4.01282612479516
"429",NA,"Michigan",1950,6407000,151870000,4.21873971159544
"430",NA,"Michigan",1960,7834000,179972000,4.35289933989732
"431",NA,"Michigan",1970,8881826,203302031,4.36878370388735
"432",NA,"Michigan",1980,9262078,226545805,4.088390866474
"433",NA,"Michigan",1990,9310462,249464396,3.73218068361146
"434",NA,"Michigan",2000,9863775,272690813,3.61720106793623
"435",NA,"Minnesota",1913,2190000,97499636,2.24616223182618
"436",NA,"Minnesota",1920,2403000,106773917,2.25054963563807
"437",NA,"Minnesota",1930,2576000,123502578,2.08578641977822
"438",NA,"Minnesota",1940,2790000,132450294,2.1064505904381
"439",NA,"Minnesota",1950,2997000,151870000,1.97339830117864
"440",NA,"Minnesota",1960,3425000,179972000,1.90307381148179
"441",NA,"Minnesota",1970,3806103,203302031,1.87214214303644
"442",NA,"Minnesota",1980,4075970,226545805,1.79918140616199
"443",NA,"Minnesota",1990,4387283,249464396,1.75868102636979
"444",NA,"Minnesota",2000,4775508,272690813,1.75125371752073
"445",NA,"Mississippi",1913,1827000,97499636,1.87385314956458
"446",NA,"Mississippi",1920,1800000,106773917,1.68580497051541
"447",NA,"Mississippi",1930,2006000,123502578,1.62425759242046
"448",NA,"Mississippi",1940,2176000,132450294,1.64288046049939
